model,t_abs,L,richardson_change_fv,richardson_change_fem,cross_method_difference,max_algebraic_residual,a,delta,c,quadratic_relative_l2_residual,free_exponent,free_power_relative_l2_residual,effective_counting_dimension,effective_length,length_relative_error,transverse_gap_ratio,transverse_modes_first10,multiplicity_ok,point_pass,isolation_ratio_lambda2_over_lambda1,neck_gradient_energy_fraction,quadratic_packet,tunneling_flag
kk_interval_neumann,0.1,12.0,0.0002477754354958168,0.00024802106655980277,1.2223674899217026e-10,6.362677269162503e-12,0.06853890367612193,8.372928070243128e-07,-1.5711406598721728e-07,1.484945226708205e-08,1.9999994187291383,5.548448227709977e-09,1.0000000164062763,12.000001381045136,1.1508709466904558e-07,1.4399999999999997,0,True,True,,,,
kk_interval_neumann,0.01,18.0,0.00011015274476376688,0.00011020128456966232,1.0713513531141311e-11,1.3409601534577464e-11,0.0304617405929746,1.6548076335181615e-07,-1.3800983191295274e-08,2.9350473258192915e-09,1.9999998851137184,1.0969079261932856e-09,1.0000000032407281,18.000000409407537,2.2744863178066527e-08,3.2399999999999998,0,True,True,,,,
kk_interval_neumann,0.001,24.0,6.196689177563384e-05,6.198225240615571e-05,1.9054539622056138e-12,2.2087454794473276e-11,0.017134729616327095,5.2370088018362384e-08,-2.456701188022313e-09,9.289305627002754e-10,1.9999999636395804,3.4713021583680155e-10,1.000000001027876,24.00000017275459,7.19810788751829e-09,5.759999999999999,0,True,True,,,,
kk_interval_neumann,0.0001,30.0,3.966058028081537e-05,3.966687246391543e-05,4.99519147395131e-13,3.239204372566619e-11,0.010966227047645362,2.145648391780527e-08,-6.442540961156022e-10,3.8069297066175886e-10,1.9999999850973764,1.421920864790411e-10,1.0000000004211544,30.00000008846636,2.9488787115875917e-09,9.000000000000002,0,True,True,,,,
kk_interval_neumann,1e-05,36.0,2.7542737246291964e-05,2.7545771720939808e-05,1.67362199405272e-13,5.3083258692630005e-11,0.007615435473013836,1.034330317083647e-08,-2.1564396702010337e-10,1.8365669969133075e-10,1.9999999928085928,6.84853601519091e-11,1.0000000002071112,36.00000005118156,1.4217099596357405e-09,12.959999999999999,0,True,True,,,,
kk_interval_dirichlet,0.1,12.0,0.0002477754354958168,0.00024802106655980277,1.2223674899217026e-10,6.656828585887796e-12,0.06853890367612193,8.372928070243128e-07,-1.5711406598721728e-07,1.484945226708205e-08,1.9999994187291383,5.548448227709977e-09,1.0000000164062763,12.000001381045136,1.1508709466904558e-07,1.4399999999999997,0,True,True,,,,
kk_interval_dirichlet,0.01,18.0,0.00011015274476376688,0.00011020128456966232,1.0713513531141311e-11,1.6322001303020915e-11,0.0304617405929746,1.6548076335181615e-07,-1.3800983191295274e-08,2.9350473258192915e-09,1.9999998851137184,1.0969079261932856e-09,1.0000000032407281,18.000000409407537,2.2744863178066527e-08,3.2399999999999998,0,True,True,,,,
kk_interval_dirichlet,0.001,24.0,6.196689177563384e-05,6.198225240615571e-05,1.9054539622056138e-12,2.184344117368176e-11,0.017134729616327095,5.2370088018362384e-08,-2.456701188022313e-09,9.289305627002754e-10,1.9999999636395804,3.4713021583680155e-10,1.000000001027876,24.00000017275459,7.19810788751829e-09,5.759999999999999,0,True,True,,,,
kk_interval_dirichlet,0.0001,30.0,3.966058028081537e-05,3.966687246391543e-05,4.99519147395131e-13,3.9334831786165196e-11,0.010966227047645362,2.145648391780527e-08,-6.442540961156022e-10,3.8069297066175886e-10,1.9999999850973764,1.421920864790411e-10,1.0000000004211544,30.00000008846636,2.9488787115875917e-09,9.000000000000002,0,True,True,,,,
kk_interval_dirichlet,1e-05,36.0,2.7542737246291964e-05,2.7545771720939808e-05,1.67362199405272e-13,6.142109097481547e-11,0.007615435473013836,1.034330317083647e-08,-2.1564396702010337e-10,1.8365669969133075e-10,1.9999999928085928,6.84853601519091e-11,1.0000000002071112,36.00000005118156,1.4217099596357405e-09,12.959999999999999,0,True,True,,,,
kk_circle_periodic,0.1,12.0,0.0009896299586515452,0.0009935511926848824,7.893117829337596e-09,3.1357488457495195e-12,0.27415467097178986,1.335680797428171e-05,-1.0024146768986222e-05,2.3672811797447025e-07,1.999990732054222,8.836726151652627e-08,1.0000002619045527,12.000022035050213,1.8362541844100615e-06,1.4399999999999997,0,True,True,,,,
kk_circle_periodic,0.01,18.0,0.00044031991620329135,0.000441095779810248,6.883951985882828e-10,6.809791509910451e-12,0.12184687933927878,2.6442264328258344e-06,-8.820638572648722e-07,4.688763141769106e-08,1.9999981645456875,1.7515045398406178e-08,1.0000000518221097,18.000006542461335,3.634700741865042e-07,3.2399999999999998,0,True,True,,,,
