model,t_abs,x,u1
cheeger_tunneling,0.001,-2.0,-0.5779014606419672
cheeger_tunneling,0.001,-1.995,-0.5779014416326816
cheeger_tunneling,0.001,-1.99,-0.5779013846048265
cheeger_tunneling,0.001,-1.985,-0.5779012895584054
cheeger_tunneling,0.001,-1.98,-0.5779011564934244
cheeger_tunneling,0.001,-1.975,-0.5779009854098924
cheeger_tunneling,0.001,-1.97,-0.5779007763078208
cheeger_tunneling,0.001,-1.965,-0.5779005291872232
cheeger_tunneling,0.001,-1.96,-0.5779002440481161
cheeger_tunneling,0.001,-1.955,-0.577899920890518
cheeger_tunneling,0.001,-1.95,-0.5778995597144501
cheeger_tunneling,0.001,-1.945,-0.5778991605199362
cheeger_tunneling,0.001,-1.94,-0.5778987233070026
cheeger_tunneling,0.001,-1.935,-0.5778982480756784
cheeger_tunneling,0.001,-1.93,-0.5778977348259945
cheeger_tunneling,0.001,-1.925,-0.5778971835579845
cheeger_tunneling,0.001,-1.92,-0.5778965942716853
cheeger_tunneling,0.001,-1.915,-0.5778959669671351
cheeger_tunneling,0.001,-1.91,-0.5778953016443752
cheeger_tunneling,0.001,-1.905,-0.5778945983034496
cheeger_tunneling,0.001,-1.9,-0.5778938569444046
cheeger_tunneling,0.001,-1.895,-0.5778930775672888
cheeger_tunneling,0.001,-1.89,-0.5778922601721538
cheeger_tunneling,0.001,-1.885,-0.5778914047590528
cheeger_tunneling,0.001,-1.88,-0.5778905113280423
cheeger_tunneling,0.001,-1.875,-0.5778895798791811
cheeger_tunneling,0.001,-1.87,-0.5778886104125306
cheeger_tunneling,0.001,-1.865,-0.5778876029281544
cheeger_tunneling,0.001,-1.8599999999999999,-0.5778865574261193
cheeger_tunneling,0.001,-1.855,-0.5778854739064934
cheeger_tunneling,0.001,-1.85,-0.5778843523693482
cheeger_tunneling,0.001,-1.845,-0.5778831928147578
cheeger_tunneling,0.001,-1.84,-0.5778819952427977
cheeger_tunneling,0.001,-1.835,-0.5778807596535477
cheeger_tunneling,0.001,-1.83,-0.5778794860470884
cheeger_tunneling,0.001,-1.825,-0.5778781744235036
cheeger_tunneling,0.001,-1.82,-0.5778768247828802
cheeger_tunneling,0.001,-1.815,-0.5778754371253061
cheeger_tunneling,0.001,-1.81,-0.5778740114508734
cheeger_tunneling,0.001,-1.805,-0.5778725477596753
cheeger_tunneling,0.001,-1.8,-0.5778710460518084
cheeger_tunneling,0.001,-1.795,-0.5778695063273714
cheeger_tunneling,0.001,-1.79,-0.5778679285864657
cheeger_tunneling,0.001,-1.785,-0.577866312829195
cheeger_tunneling,0.001,-1.78,-0.5778646590556655
cheeger_tunneling,0.001,-1.775,-0.5778629672659861
cheeger_tunneling,0.001,-1.77,-0.577861237460268
cheeger_tunneling,0.001,-1.765,-0.5778594696386252
cheeger_tunneling,0.001,-1.76,-0.5778576638011739
cheeger_tunneling,0.001,-1.755,-0.5778558199480327
cheeger_tunneling,0.001,-1.75,-0.5778539380793234
cheeger_tunneling,0.001,-1.745,-0.5778520181951694
cheeger_tunneling,0.001,-1.74,-0.5778500602956971
cheeger_tunneling,0.001,-1.7349999999999999,-0.5778480643810353
cheeger_tunneling,0.001,-1.73,-0.5778460304513156
cheeger_tunneling,0.001,-1.725,-0.5778439585066713
cheeger_tunneling,0.001,-1.72,-0.5778418485472389
cheeger_tunneling,0.001,-1.7149999999999999,-0.5778397005731571
cheeger_tunneling,0.001,-1.71,-0.5778375145845676
cheeger_tunneling,0.001,-1.705,-0.5778352905816139
cheeger_tunneling,0.001,-1.7,-0.5778330285644423
cheeger_tunneling,0.001,-1.695,-0.5778307285332018
cheeger_tunneling,0.001,-1.69,-0.5778283904880435
cheeger_tunneling,0.001,-1.685,-0.5778260144291214
cheeger_tunneling,0.001,-1.68,-0.5778236003565917
cheeger_tunneling,0.001,-1.675,-0.577821148270613
cheeger_tunneling,0.001,-1.67,-0.5778186581713471
cheeger_tunneling,0.001,-1.665,-0.5778161300589577
cheeger_tunneling,0.001,-1.66,-0.5778135639336112
cheeger_tunneling,0.001,-1.655,-0.5778109597954758
cheeger_tunneling,0.001,-1.65,-0.5778083176447233
cheeger_tunneling,0.001,-1.645,-0.5778056374815275
cheeger_tunneling,0.001,-1.6400000000000001,-0.5778029193060645
cheeger_tunneling,0.001,-1.635,-0.5778001631185137
cheeger_tunneling,0.001,-1.63,-0.5777973689190555
cheeger_tunneling,0.001,-1.625,-0.5777945367078746
cheeger_tunneling,0.001,-1.62,-0.5777916664851568
cheeger_tunneling,0.001,-1.615,-0.577788758251091
cheeger_tunneling,0.001,-1.6099999999999999,-0.5777858120058688
cheeger_tunneling,0.001,-1.605,-0.5777828277496838
